grid_code,t0,t1,interval,diagnostic_interval,cells,analysis_support_ha,consolidation_ha,replenishment_ha,nat_tmp_endpoint_ha,gross_cr_activity_ha,net_cr_balance_ha,aggregate_cr_balance_index,aggregate_consolidation_rate,aggregate_replenishment_rate,aggregate_nat_tmp_intensity
hex20k_canonical,1985,1990,1985_1990,0,24889,497776400.4434159,1450003.9793995265,16427491.784646017,1401980.3575878101,17877495.764045544,-14977487.805246491,-0.8377844415641577,0.029570270959357915,0.039625912065760494,0.003381815744971022
hex20k_canonical,1990,1995,1990_1995,0,24889,497776400.4434159,1638736.6055299283,16853719.739175137,1181098.6718347662,18492456.344705064,-15214983.133645209,-0.822767016454345,0.024917999434407628,0.04252151989904812,0.0029798828658829535
hex20k_canonical,1995,2000,1995_2000,0,24889,497776400.4434159,1809550.1348431886,15646525.355227977,1224712.5983904947,17456075.490071166,-13836975.220384788,-0.792673887567404,0.02273962682176563,0.041337989559901755,0.003235680475808027
hex20k_canonical,2000,2005,2000_2005,0,24889,497776400.4434159,3504280.627224587,16925807.05502275,2294786.747976788,20430087.682247337,-13421526.427798163,-0.6569490369569367,0.03808443869604848,0.0466495734712169,0.006324710109982651
hex20k_canonical,2005,2010,2005_2010,0,24889,497776400.4434159,2825891.973993134,10058052.561758481,945225.1180680571,12883944.535751615,-7232160.587765347,-0.5613312419730502,0.02743415809655755,0.029155538111485132,0.0027399485918920396
hex20k_canonical,2010,2015,2010_2015,0,24889,497776400.4434159,4974529.591197177,8697568.465930596,1362409.8421371328,13672098.057127774,-3723038.874733419,-0.272309257816686,0.046595364879850346,0.025881023027358584,0.0040540710470024915
hex20k_canonical,2015,2020,2015_2020,0,24889,497776400.4434159,3916475.186384813,9016705.139974771,740590.962133754,12933180.326359585,-5100229.953589958,-0.39435234218415666,0.03688704673486844,0.027398933177794557,0.0022504231832558385
hex20k_canonical,2020,2025,2020_2025,1,24889,497776400.4434159,2086326.7500292985,10038550.153936727,681863.8261414452,12124876.903966025,-7952223.4039074285,-0.6558601350671256,0.019562412473143265,0.0312928405469129,0.002125551564613588
hex10k_base,1985,1990,1985_1990,0,56520,497985589.4573888,1450267.4119067118,16427955.744978597,1401985.1235959574,17878223.15688531,-14977688.333071886,-0.8377615718094242,0.029571403241872313,0.03960923961944041,0.0033803088811203397
hex10k_base,1990,1995,1990_1995,0,56520,497985589.45739216,1638965.9470957236,16854228.29640645,1181104.9946914786,18493194.243502174,-15215262.349310728,-0.8227492854381719,0.024918744009854076,0.0425029172928875,0.0029785052759900995
hex10k_base,1995,2000,1995_2000,0,56520,497985589.457402,1809752.6969032867,15647002.740401385,1224719.546356861,17456755.43730467,-13837250.043498099,-0.7926587557002847,0.022740089751187097,0.04131904094251289,0.003234116969146567
hex10k_base,2000,2005,2000_2005,0,56520,497985589.4574041,3504525.1010043165,16926241.02809543,2294786.3109520627,20430766.12909975,-13421715.927091114,-0.6569364967657492,0.038084087035573276,0.04662696641647273,0.006321481779453479
