comparison_grid,comparison_effect,support_scope,t0,t1,interval,diagnostic_interval,metric,weighted_ks_distance,weighted_ks_threshold,weighted_ks_pass,canonical_defined_support_fraction,alternative_defined_support_fraction,defined_support_fraction_absolute_difference,defined_support_fraction_threshold,defined_support_fraction_pass,distribution_criterion_pass
hex10k_base,finer_scale_10k,primary_ge_50pct,1985,1990,1985_1990,0,consolidation_density_per_10kha,0.032687225254202645,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1985,1990,1985_1990,0,replenishment_density_per_10kha,0.04954339138305097,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1985,1990,1985_1990,0,nat_tmp_density_per_10kha,0.04470088566785524,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1985,1990,1985_1990,0,net_cr_balance_density_per_10kha,0.05134719484595007,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1985,1990,1985_1990,0,cr_balance_index,0.028643345798803344,0.1,True,0.7081843376977046,0.6589450463464478,0.04923929135125682,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1985,1990,1985_1990,0,consolidation_rate_initial_pasture,0.028679893939022594,0.1,True,0.6597693692532077,0.6092323127064049,0.05053705654680285,0.05,False,False
hex10k_base,finer_scale_10k,primary_ge_50pct,1985,1990,1985_1990,0,replenishment_rate_initial_native,0.048118062713798426,0.1,True,0.9998392869263782,0.9976385599594245,0.0022007269669537255,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1985,1990,1985_1990,0,nat_tmp_intensity_initial_native,0.04431861350980326,0.1,True,0.9998392869263782,0.9976385599594245,0.0022007269669537255,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_25pct,1985,1990,1985_1990,0,consolidation_density_per_10kha,0.035286653557338066,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_25pct,1985,1990,1985_1990,0,replenishment_density_per_10kha,0.060618885929057065,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_25pct,1985,1990,1985_1990,0,nat_tmp_density_per_10kha,0.04785153478596471,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_25pct,1985,1990,1985_1990,0,net_cr_balance_density_per_10kha,0.06231342187217803,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_25pct,1985,1990,1985_1990,0,cr_balance_index,0.028380247305138995,0.1,True,0.7081843376977046,0.6479060577051707,0.06027827999253388,0.05,False,False
hex10k_base,finer_scale_10k,sensitivity_ge_25pct,1985,1990,1985_1990,0,consolidation_rate_initial_pasture,0.028475037287889693,0.1,True,0.6597693692532077,0.5992016485749648,0.0605677206782429,0.05,False,False
hex10k_base,finer_scale_10k,sensitivity_ge_25pct,1985,1990,1985_1990,0,replenishment_rate_initial_native,0.058655572537562595,0.1,True,0.9998392869263782,0.9967692631866644,0.0030700237397138785,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_25pct,1985,1990,1985_1990,0,nat_tmp_intensity_initial_native,0.047325163375179224,0.1,True,0.9998392869263782,0.9967692631866644,0.0030700237397138785,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_75pct,1985,1990,1985_1990,0,consolidation_density_per_10kha,0.028219701281666842,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_75pct,1985,1990,1985_1990,0,replenishment_density_per_10kha,0.03162058949162533,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_75pct,1985,1990,1985_1990,0,nat_tmp_density_per_10kha,0.03958533872304948,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_75pct,1985,1990,1985_1990,0,net_cr_balance_density_per_10kha,0.03371025857420795,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_75pct,1985,1990,1985_1990,0,cr_balance_index,0.02869495109669984,0.1,True,0.7081843376977046,0.6768893469542714,0.031294990743433226,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_75pct,1985,1990,1985_1990,0,consolidation_rate_initial_pasture,0.028817626892803982,0.1,True,0.6597693692532077,0.6260115182168369,0.033757851036370856,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_75pct,1985,1990,1985_1990,0,replenishment_rate_initial_native,0.030800422840315755,0.1,True,0.9998392869263782,0.9985962090866433,0.001243077839734985,0.05,True,True
hex10k_base,finer_scale_10k,sensitivity_ge_75pct,1985,1990,1985_1990,0,nat_tmp_intensity_initial_native,0.03936555912600925,0.1,True,0.9998392869263782,0.9985962090866433,0.001243077839734985,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1990,1995,1990_1995,0,consolidation_density_per_10kha,0.04034169731885073,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1990,1995,1990_1995,0,replenishment_density_per_10kha,0.04867893640802001,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1990,1995,1990_1995,0,nat_tmp_density_per_10kha,0.0492206140665562,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1990,1995,1990_1995,0,net_cr_balance_density_per_10kha,0.04900109959769616,0.1,True,1.0,1.0,0.0,0.05,True,True
hex10k_base,finer_scale_10k,primary_ge_50pct,1990,1995,1990_1995,0,cr_balance_index,0.03398760874428863,0.1,True,0.7518582364183602,0.7039295457549549,0.04792869066340533,0.05,True,True
