comparison_grid,comparison_effect,window,metric,interval_count,spearman_rank_correlation,spearman_threshold,spearman_pass,canonical_peak_interval,alternative_peak_interval,peak_interval_distance,canonical_trough_interval,alternative_trough_interval,trough_interval_distance,extrema_distance_threshold,sign_sequence_preserved,balance_class_sequence_preserved,temporal_criterion_pass
hex10k_base,finer_scale_10k,primary_1985_2020,consolidation_ha,7,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex10k_base,finer_scale_10k,primary_1985_2020,replenishment_ha,7,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex10k_base,finer_scale_10k,primary_1985_2020,nat_tmp_endpoint_ha,7,1.0,0.9,True,2000_2005,2000_2005,0,2015_2020,2015_2020,0,1,True,True,True
hex10k_base,finer_scale_10k,primary_1985_2020,net_cr_balance_ha,7,1.0,0.9,True,2010_2015,2010_2015,0,1990_1995,1990_1995,0,1,True,True,True
hex10k_base,finer_scale_10k,primary_1985_2020,aggregate_cr_balance_index,7,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex10k_base,finer_scale_10k,primary_1985_2020,aggregate_consolidation_rate,7,1.0,0.9,True,2010_2015,2010_2015,0,1995_2000,1995_2000,0,1,True,True,True
hex10k_base,finer_scale_10k,primary_1985_2020,aggregate_replenishment_rate,7,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex10k_base,finer_scale_10k,primary_1985_2020,aggregate_nat_tmp_intensity,7,1.0,0.9,True,2000_2005,2000_2005,0,2015_2020,2015_2020,0,1,True,True,True
hex10k_base,finer_scale_10k,full_observed_1985_2025,consolidation_ha,8,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex10k_base,finer_scale_10k,full_observed_1985_2025,replenishment_ha,8,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex10k_base,finer_scale_10k,full_observed_1985_2025,nat_tmp_endpoint_ha,8,1.0,0.9,True,2000_2005,2000_2005,0,2020_2025,2020_2025,0,1,True,True,True
hex10k_base,finer_scale_10k,full_observed_1985_2025,net_cr_balance_ha,8,1.0,0.9,True,2010_2015,2010_2015,0,1990_1995,1990_1995,0,1,True,True,True
hex10k_base,finer_scale_10k,full_observed_1985_2025,aggregate_cr_balance_index,8,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex10k_base,finer_scale_10k,full_observed_1985_2025,aggregate_consolidation_rate,8,1.0,0.9,True,2010_2015,2010_2015,0,2020_2025,2020_2025,0,1,True,True,True
hex10k_base,finer_scale_10k,full_observed_1985_2025,aggregate_replenishment_rate,8,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex10k_base,finer_scale_10k,full_observed_1985_2025,aggregate_nat_tmp_intensity,8,1.0,0.9,True,2000_2005,2000_2005,0,2020_2025,2020_2025,0,1,True,True,True
hex20k_shift,zoning_shift_20k,primary_1985_2020,consolidation_ha,7,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex20k_shift,zoning_shift_20k,primary_1985_2020,replenishment_ha,7,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex20k_shift,zoning_shift_20k,primary_1985_2020,nat_tmp_endpoint_ha,7,1.0,0.9,True,2000_2005,2000_2005,0,2015_2020,2015_2020,0,1,True,True,True
hex20k_shift,zoning_shift_20k,primary_1985_2020,net_cr_balance_ha,7,1.0,0.9,True,2010_2015,2010_2015,0,1990_1995,1990_1995,0,1,True,True,True
hex20k_shift,zoning_shift_20k,primary_1985_2020,aggregate_cr_balance_index,7,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex20k_shift,zoning_shift_20k,primary_1985_2020,aggregate_consolidation_rate,7,1.0,0.9,True,2010_2015,2010_2015,0,1995_2000,1995_2000,0,1,True,True,True
hex20k_shift,zoning_shift_20k,primary_1985_2020,aggregate_replenishment_rate,7,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex20k_shift,zoning_shift_20k,primary_1985_2020,aggregate_nat_tmp_intensity,7,1.0,0.9,True,2000_2005,2000_2005,0,2015_2020,2015_2020,0,1,True,True,True
hex20k_shift,zoning_shift_20k,full_observed_1985_2025,consolidation_ha,8,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex20k_shift,zoning_shift_20k,full_observed_1985_2025,replenishment_ha,8,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex20k_shift,zoning_shift_20k,full_observed_1985_2025,nat_tmp_endpoint_ha,8,1.0,0.9,True,2000_2005,2000_2005,0,2020_2025,2020_2025,0,1,True,True,True
hex20k_shift,zoning_shift_20k,full_observed_1985_2025,net_cr_balance_ha,8,1.0,0.9,True,2010_2015,2010_2015,0,1990_1995,1990_1995,0,1,True,True,True
hex20k_shift,zoning_shift_20k,full_observed_1985_2025,aggregate_cr_balance_index,8,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex20k_shift,zoning_shift_20k,full_observed_1985_2025,aggregate_consolidation_rate,8,1.0,0.9,True,2010_2015,2010_2015,0,2020_2025,2020_2025,0,1,True,True,True
hex20k_shift,zoning_shift_20k,full_observed_1985_2025,aggregate_replenishment_rate,8,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex20k_shift,zoning_shift_20k,full_observed_1985_2025,aggregate_nat_tmp_intensity,8,1.0,0.9,True,2000_2005,2000_2005,0,2020_2025,2020_2025,0,1,True,True,True
hex40k_base,coarser_scale_40k,primary_1985_2020,consolidation_ha,7,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex40k_base,coarser_scale_40k,primary_1985_2020,replenishment_ha,7,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex40k_base,coarser_scale_40k,primary_1985_2020,nat_tmp_endpoint_ha,7,1.0,0.9,True,2000_2005,2000_2005,0,2015_2020,2015_2020,0,1,True,True,True
hex40k_base,coarser_scale_40k,primary_1985_2020,net_cr_balance_ha,7,1.0,0.9,True,2010_2015,2010_2015,0,1990_1995,1990_1995,0,1,True,True,True
hex40k_base,coarser_scale_40k,primary_1985_2020,aggregate_cr_balance_index,7,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex40k_base,coarser_scale_40k,primary_1985_2020,aggregate_consolidation_rate,7,1.0,0.9,True,2010_2015,2010_2015,0,1995_2000,1995_2000,0,1,True,True,True
hex40k_base,coarser_scale_40k,primary_1985_2020,aggregate_replenishment_rate,7,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex40k_base,coarser_scale_40k,primary_1985_2020,aggregate_nat_tmp_intensity,7,1.0,0.9,True,2000_2005,2000_2005,0,2015_2020,2015_2020,0,1,True,True,True
hex40k_base,coarser_scale_40k,full_observed_1985_2025,consolidation_ha,8,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex40k_base,coarser_scale_40k,full_observed_1985_2025,replenishment_ha,8,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex40k_base,coarser_scale_40k,full_observed_1985_2025,nat_tmp_endpoint_ha,8,1.0,0.9,True,2000_2005,2000_2005,0,2020_2025,2020_2025,0,1,True,True,True
hex40k_base,coarser_scale_40k,full_observed_1985_2025,net_cr_balance_ha,8,1.0,0.9,True,2010_2015,2010_2015,0,1990_1995,1990_1995,0,1,True,True,True
hex40k_base,coarser_scale_40k,full_observed_1985_2025,aggregate_cr_balance_index,8,1.0,0.9,True,2010_2015,2010_2015,0,1985_1990,1985_1990,0,1,True,True,True
hex40k_base,coarser_scale_40k,full_observed_1985_2025,aggregate_consolidation_rate,8,1.0,0.9,True,2010_2015,2010_2015,0,2020_2025,2020_2025,0,1,True,True,True
hex40k_base,coarser_scale_40k,full_observed_1985_2025,aggregate_replenishment_rate,8,1.0,0.9,True,2000_2005,2000_2005,0,2010_2015,2010_2015,0,1,True,True,True
hex40k_base,coarser_scale_40k,full_observed_1985_2025,aggregate_nat_tmp_intensity,8,1.0,0.9,True,2000_2005,2000_2005,0,2020_2025,2020_2025,0,1,True,True,True
