boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,lisa_class,cells,biome_cells,supported_cells,class_share_of_biome_cells,class_share_of_supported_cells,metric_value_sum
primary_assignment,Amazon,consolidation_ha,1985,1990,0,HH,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1985,1990,0,LL,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1985,1990,0,HL,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1985,1990,0,LH,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1985,1990,0,not_significant,14213,14213,14213,1,1,23258.480222945909
primary_assignment,Amazon,consolidation_ha,1985,1990,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1985,1990,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,consolidation_ha,1990,1995,0,HH,8,14213,14213,0.00056286498276225986,0.00056286498276225986,6363.7790152971647
primary_assignment,Amazon,consolidation_ha,1990,1995,0,LL,10,14213,14213,0.00070358122845282491,0.00070358122845282491,47.68824215233326
primary_assignment,Amazon,consolidation_ha,1990,1995,0,HL,1,14213,14213,7.0358122845282483e-05,7.0358122845282483e-05,170.43086802959442
primary_assignment,Amazon,consolidation_ha,1990,1995,0,LH,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1990,1995,0,not_significant,14194,14213,14213,0.99866319566593964,0.99866319566593964,61810.407151349304
primary_assignment,Amazon,consolidation_ha,1990,1995,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1990,1995,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,consolidation_ha,1995,2000,0,HH,19,14213,14213,0.0013368043340603673,0.0013368043340603673,20554.35715515304
primary_assignment,Amazon,consolidation_ha,1995,2000,0,LL,1,14213,14213,7.0358122845282483e-05,7.0358122845282483e-05,1.2405346855521202
primary_assignment,Amazon,consolidation_ha,1995,2000,0,HL,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1995,2000,0,LH,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1995,2000,0,not_significant,14193,14213,14213,0.99859283754309436,0.99859283754309436,118249.90249560872
primary_assignment,Amazon,consolidation_ha,1995,2000,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,1995,2000,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,consolidation_ha,2000,2005,0,HH,131,14213,14213,0.0092169140927320058,0.0092169140927320058,227821.04386343466
primary_assignment,Amazon,consolidation_ha,2000,2005,0,LL,85,14213,14213,0.0059804404418490114,0.0059804404418490114,548.33671945333481
primary_assignment,Amazon,consolidation_ha,2000,2005,0,HL,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,2000,2005,0,LH,17,14213,14213,0.0011960880883698022,0.0011960880883698022,726.72802366313397
primary_assignment,Amazon,consolidation_ha,2000,2005,0,not_significant,13980,14213,14213,0.98360655737704916,0.98360655737704916,434226.2921834155
primary_assignment,Amazon,consolidation_ha,2000,2005,0,island,0,14213,14213,0,0,0
primary_assignment,Amazon,consolidation_ha,2000,2005,0,not_applicable,0,14213,14213,0,,0
primary_assignment,Amazon,consolidation_ha,2005,2010,0,HH,504,14213,14213,0.035460493914022374,0.035460493914022374,540984.90213090228
primary_assignment,Amazon,consolidation_ha,2005,2010,0,LL,8069,14213,14213,0.5677196932385844,0.5677196932385844,449.43890591710806
