boundary_scope,primary_biome,metric,cells,any_hh_primary_cells,hh_persistent_2plus_primary_cells,mean_hh_primary_intervals,mean_hh_maximum_run,any_ll_primary_cells,ll_persistent_2plus_primary_cells,mean_ll_primary_intervals,mean_ll_maximum_run,diagnostic_continues_hh_cells,diagnostic_continues_ll_cells
primary_assignment,Amazon,consolidation_ha,14213,762,336,0.082881868711742773,0.081826496869063528,8148,62,0.578343769788222,0.57764018855976917,62,0
primary_assignment,Amazon,cr_balance_index,14213,1394,1043,0.23682544149722085,0.23126714979244353,4604,2704,0.55808063040878064,0.51452895236755081,875,2681
primary_assignment,Amazon,nat_tmp_endpoint_ha,14213,296,153,0.037219446985154434,0.036586223879546895,10242,1693,1.5181875747555056,0.95117146274537401,21,52
primary_assignment,Amazon,net_cr_balance_ha,14213,886,445,0.10314500809118413,0.10173784563427848,3545,2339,0.5669457538872863,0.54105396468022238,201,259
primary_assignment,Amazon,replenishment_ha,14213,4010,2785,0.70885808766622105,0.67473439808625901,7480,5458,2.1509181735031309,2.0010553718426793,506,2993
primary_assignment,Cerrado,consolidation_ha,10676,1786,962,0.35659423004870738,0.33842263019857627,1158,34,0.11221431247658299,0.11183964031472461,16,0
primary_assignment,Cerrado,cr_balance_index,10676,3371,2500,1.2182465342825028,1.1613900337204945,1607,660,0.22939303109778944,0.2125327838141626,1512,566
primary_assignment,Cerrado,nat_tmp_endpoint_ha,10676,1026,511,0.19576620457100039,0.17937429748969652,2417,158,0.3345822405395279,0.24896965155488948,31,18
primary_assignment,Cerrado,net_cr_balance_ha,10676,1862,1149,0.44707755713750469,0.42309853877856873,2371,851,0.33973398276508054,0.32465342825028098,117,111
primary_assignment,Cerrado,replenishment_ha,10676,3565,1569,0.59263769201948291,0.55301611090295988,2195,1610,0.70719370550768079,0.66232671412514055,311,729
single_biome_sensitivity,Amazon,consolidation_ha,13920,716,318,0.07988505747126437,0.078807471264367809,8131,62,0.58922413793103445,0.5885775862068966,60,0
single_biome_sensitivity,Amazon,cr_balance_index,13920,1288,959,0.21803160919540229,0.21379310344827587,4569,2689,0.56609195402298851,0.5217672413793103,802,2668
single_biome_sensitivity,Amazon,nat_tmp_endpoint_ha,13920,241,120,0.028663793103448274,0.028160919540229885,10160,1688,1.5413793103448277,0.96458333333333335,21,51
single_biome_sensitivity,Amazon,net_cr_balance_ha,13920,832,422,0.099137931034482762,0.09777298850574713,3455,2285,0.5648706896551724,0.53965517241379313,197,258
single_biome_sensitivity,Amazon,replenishment_ha,13920,3891,2712,0.70186781609195403,0.66824712643678164,7421,5427,2.1857040229885056,2.0336206896551725,500,2960
single_biome_sensitivity,Cerrado,consolidation_ha,10387,1763,955,0.36343506305959372,0.34485414460383174,1136,34,0.11321844613459131,0.11283334937903149,16,0
single_biome_sensitivity,Cerrado,cr_balance_index,10387,3289,2431,1.2239337633580436,1.1681910079907576,1572,645,0.23086550495812072,0.21363242514681813,1474,553
single_biome_sensitivity,Cerrado,nat_tmp_endpoint_ha,10387,968,473,0.18821603927986907,0.17136805622412632,2336,153,0.33243477423702705,0.24732839125830364,31,17
single_biome_sensitivity,Cerrado,net_cr_balance_ha,10387,1838,1140,0.45595455858284395,0.43150091460479445,2291,806,0.33262732261480699,0.31943775873688263,117,105
single_biome_sensitivity,Cerrado,replenishment_ha,10387,3463,1501,0.5822662944064696,0.54423798979493598,2151,1583,0.71522094926350244,0.66968325791855199,290,706
