boundary_scope,primary_biome,metric,measure_type,t0,t1,diagnostic_interval,cells,supported_cells,undefined_cells,nonzero_cells,value_sum,value_mean,value_median,value_q90,contribution_to_combined_domain_sum
primary_assignment,Amazon,consolidation_ha,absolute_area,1985,1990,0,14213,14213,0,592,23258.480222945909,1.6364230087206015,0,0,0.016040287167058451
primary_assignment,Amazon,consolidation_rate_initial_pasture,relative_intensity,1985,1990,0,14213,6814,7399,592,26.807383707649869,0.0039341625634942571,0,0,
primary_assignment,Amazon,replenishment_ha,absolute_area,1985,1990,0,14213,14213,0,7770,5035829.9955495456,354.31154545483332,2.3234293907880783,1264.827687730959,0.30654892795358402
primary_assignment,Amazon,replenishment_rate_initial_native,relative_intensity,1985,1990,0,14213,14212,1,7770,333.88629334900781,0.023493265785885717,0.00012909020335572817,0.079407413608536564,
primary_assignment,Amazon,nat_tmp_endpoint_ha,absolute_area,1985,1990,0,14213,14213,0,887,80839.111024156155,5.6876881041410083,0,0,0.057660658786435934
primary_assignment,Amazon,nat_tmp_intensity_initial_native,relative_intensity,1985,1990,0,14213,14212,1,887,4.8034541645412592,0.00033798579823678999,0,0,
primary_assignment,Amazon,nat_tmp_pas_any_ha,trajectory_area,1985,1990,0,14213,14213,0,423,3377.4407036436246,0.23763038792961547,0,0,0.023263630749252733
primary_assignment,Amazon,nat_tmp_pas_any_share_endpoint,trajectory_share,1985,1990,0,14213,887,13326,423,98.195297619974781,0.11070495785791971,0,0.37636132820535456,
primary_assignment,Amazon,nat_tmp_pas_consecutive2_ha,trajectory_area,1985,1990,0,14213,14213,0,393,3074.9620694643722,0.21634855902795835,0,0,0.022014104351567202
primary_assignment,Amazon,nat_tmp_pas_consecutive2_share_endpoint,trajectory_share,1985,1990,0,14213,887,13326,393,84.194414918128331,0.094920422681091687,0,0.32983845711316429,
primary_assignment,Amazon,net_cr_balance_ha,signed_area,1985,1990,0,14213,14213,0,7774,-5012571.5153265996,-352.67512244611271,-2.1422948762774467,0,0.33467371701486126
primary_assignment,Amazon,cr_balance_index,bounded_index,1985,1990,0,14213,7774,6439,7774,-7637.8489544185722,-0.98248635894244563,-1,-1,
primary_assignment,Amazon,consolidation_ha,absolute_area,1990,1995,0,14213,14213,0,971,68392.305276828396,4.8119542163391538,0,0,0.041734776074469855
