boundary_scope,primary_biome,metric,t0,t1,diagnostic_interval,stage,cells,biome_cells,cell_fraction
primary_assignment,Amazon,consolidation_ha,1985,1990,0,positive_high,3,14213,0.00021107436853584746
primary_assignment,Amazon,consolidation_ha,1985,1990,0,positive_low,517,14213,0.036375149511011048
primary_assignment,Amazon,consolidation_ha,1985,1990,0,positive_moderate,72,14213,0.0050657848448603391
primary_assignment,Amazon,consolidation_ha,1985,1990,0,zero,13621,14213,0.95834799127559278
primary_assignment,Amazon,consolidation_ha,1990,1995,0,positive_high,8,14213,0.00056286498276225986
primary_assignment,Amazon,consolidation_ha,1990,1995,0,positive_low,772,14213,0.054316470836558078
primary_assignment,Amazon,consolidation_ha,1990,1995,0,positive_moderate,191,14213,0.013438401463448955
primary_assignment,Amazon,consolidation_ha,1990,1995,0,zero,13242,14213,0.93168226271723076
primary_assignment,Amazon,consolidation_ha,1995,2000,0,positive_high,30,14213,0.0021107436853584748
primary_assignment,Amazon,consolidation_ha,1995,2000,0,positive_low,1165,14213,0.081967213114754092
primary_assignment,Amazon,consolidation_ha,1995,2000,0,positive_moderate,317,14213,0.022303524941954547
primary_assignment,Amazon,consolidation_ha,1995,2000,0,zero,12701,14213,0.89361851825793293
primary_assignment,Amazon,consolidation_ha,2000,2005,0,positive_high,216,14213,0.015197354534581018
primary_assignment,Amazon,consolidation_ha,2000,2005,0,positive_low,1470,14213,0.10342644058256525
primary_assignment,Amazon,consolidation_ha,2000,2005,0,positive_moderate,633,14213,0.044536691761063812
primary_assignment,Amazon,consolidation_ha,2000,2005,0,zero,11894,14213,0.83683951312178995
primary_assignment,Amazon,consolidation_ha,2005,2010,0,positive_high,268,14213,0.018855976922535708
primary_assignment,Amazon,consolidation_ha,2005,2010,0,positive_low,1839,14213,0.12938858791247448
primary_assignment,Amazon,consolidation_ha,2005,2010,0,positive_moderate,922,14213,0.064870189263350447
primary_assignment,Amazon,consolidation_ha,2005,2010,0,zero,11184,14213,0.78688524590163933
primary_assignment,Amazon,consolidation_ha,2010,2015,0,positive_high,647,14213,0.045521705480897769
