boundary_scope,primary_biome,metric,analysis_window,cells,mean_state_changes,mean_distinct_states,constant_cells,constant_cell_fraction,mean_maximum_episode_intervals
primary_assignment,Amazon,nat_tmp_endpoint_ha,primary,14213,0.79328783508056,1.4605642721452192,9664,0.67994089917681,5.9627101948920007
primary_assignment,Amazon,nat_tmp_endpoint_ha,full_observed,14213,0.96074016745233237,1.5141771617533244,9186,0.64630971645676494,6.6751565468233309
primary_assignment,Amazon,cr_balance_index,primary,14213,0.82924083585449937,1.5496376556673468,7446,0.52388658270597344,5.7715471751213681
primary_assignment,Amazon,cr_balance_index,full_observed,14213,1.0263842960669809,1.6228804615492858,6685,0.47034405122071343,6.4270738056708643
primary_assignment,Cerrado,nat_tmp_endpoint_ha,primary,10676,2.1266391907081306,2.1853690520794307,1917,0.17956163357062571,4.2258336455601349
primary_assignment,Cerrado,nat_tmp_endpoint_ha,full_observed,10676,2.4704008992131885,2.2709816410640689,1637,0.15333458224053953,4.6180217309853875
primary_assignment,Cerrado,cr_balance_index,primary,10676,1.1255151742225553,1.7455039340576994,5150,0.4823904083926564,5.4842637692019487
primary_assignment,Cerrado,cr_balance_index,full_observed,10676,1.4309666541775945,1.798145372798801,4902,0.45916073435743726,6.0577931809666543
single_biome_sensitivity,Amazon,nat_tmp_endpoint_ha,primary,13920,0.76249999999999996,1.4450431034482758,9613,0.69058908045977008,6.0020114942528737
single_biome_sensitivity,Amazon,nat_tmp_endpoint_ha,full_observed,13920,0.92571839080459772,1.4982040229885059,9142,0.65675287356321843,6.7219827586206895
single_biome_sensitivity,Amazon,cr_balance_index,primary,13920,0.8208333333333333,1.5418821839080459,7334,0.52686781609195399,5.7817528735632182
single_biome_sensitivity,Amazon,cr_balance_index,full_observed,13920,1.0161637931034482,1.6156609195402298,6581,0.47277298850574712,6.4403735632183912
single_biome_sensitivity,Cerrado,nat_tmp_endpoint_ha,primary,10387,2.1285260421680947,2.1850389910465005,1863,0.17935881390199288,4.2244151343024932
single_biome_sensitivity,Cerrado,nat_tmp_endpoint_ha,full_observed,10387,2.4725137190719169,2.2704341965918937,1587,0.15278713776836431,4.6180802926735343
single_biome_sensitivity,Cerrado,cr_balance_index,primary,10387,1.1240011552902667,1.7461249638971792,5002,0.48156349282757294,5.4842591701164913
single_biome_sensitivity,Cerrado,cr_balance_index,full_observed,10387,1.4302493501492251,1.7988832194088764,4763,0.45855396168287282,6.0580533359006452
